Date/Time of Report: 3/18/2025 13:06:20,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/4/2025 4:58:01 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
4:47:51,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-697.256,Kg/Hr
4:47:48,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1064.06,Kg/Hr
4:47:44,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-730.177,Kg/Hr
4:47:41,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1004.81,Kg/Hr
4:47:36,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-709.005,Kg/Hr
4:47:19,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1125.07,Kg/Hr
4:47:09,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-733.745,Kg/Hr
4:47:05,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1064.82,Kg/Hr
4:46:47,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-707.759,Kg/Hr
4:46:27,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47,%
4:46:27,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.1,%
4:46:26,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.2,%
4:46:26,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.3,%
4:46:25,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.4,%
4:46:25,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.5,%
4:46:23,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.6,%
4:46:23,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.7,%
4:46:23,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.8,%
4:46:22,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,47.9,%
4:46:15,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1029.23,Kg/Hr
4:45:59,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-677.367,Kg/Hr
