Date/Time of Report: 3/18/2025 11:41:41,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/28/2025 11:59:59 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
23:49:48,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
23:49:46,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.636,Nm3/hr
23:49:35,AREA400_HTDC,LIC_4427,CHANGE,,,PIDA.OP,0,%
23:49:34,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
23:49:33,AREA400_HTDC,LIC_4427,CHANGE,,,pida.mode,MAN,
23:48:37,U400,HV_412_1,OFFNRM,OK,J 00,,ALRAM,
23:48:35,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-730.21,Kg/Hr
23:48:35,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1045.11,Kg/Hr
23:48:24,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
23:48:22,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-635.284,Kg/Hr
23:48:21,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1014.52,Kg/Hr
23:47:58,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.557,Nm3/hr
23:47:58,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
23:47:53,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
23:47:53,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.648,Nm3/hr
23:46:49,U400,PP408,OFFNRM,ACK,,,,
23:46:39,U400,PP408,OFFNRM,,L 00,,TURE,
23:46:10,U800,LIC_5820,PVHIGH,OK,J 00,PC-820 LEVEL,48.9983,%
23:46:02,U300,PC-202,OFFNRM,OK,U 00,PC-202 COMMON ALARM TO DCS,NORMAL,
23:45:59,U300,PC2_FIT124,PVHI,OK,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.583,Nm3/hr
23:45:59,U300,PC-202,OFFNRM,,U 00,PC-202 COMMON ALARM TO DCS,ALARM,
23:45:59,U300,PC2_FIT124,PVHI,,H 00,COMP. SECONDARY SEAL GAS VENT FLOW,0.616,Nm3/hr
23:45:49,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-648.523,Kg/Hr
23:45:44,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1112.38,Kg/Hr
23:45:16,U400,PP415,OFFNRM,ACK,,,,
23:45:09,U400,PP415,UNCMD,OK,L 00,,RUNNING,
23:45:10,U400,PP415,OFFNRM,,L 00,,TURE,
